date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:16:45	8182/8182	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22563773fa-1ff6%22	http://html.templines.com/academica/assets/js/wow.min.js	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/js/wow.min.js	(from http://html.templines.com/academica/)
21:16:45	11549/11549	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22564c84b6-2d1d%22	http://html.templines.com/academica/assets/js/custom.js	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/js/custom.js	(from http://html.templines.com/academica/)
21:16:46	26711/26711	---MCZ	200	added ('OK')	text/css	etag:W/%2256377431-6857%22	http://html.templines.com/academica/assets/fonts/font-awesome/css/font-awesome.min.css	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/fonts/font-awesome/css/font-awesome.min.css	(from http://html.templines.com/academica/assets/css/master.css)
21:16:47	8620/8620	---M--	200	added ('OK')	image/png	etag:%225637740d-21ac%22	http://html.templines.com/academica/assets/media/demo-page/mac.png	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/media/demo-page/mac.png	(from http://html.templines.com/academica/assets/css/index.css)
21:16:48	15753/15753	---MCZ	200	added ('OK')	text/css	etag:W/%22564c8478-3d89%22	http://html.templines.com/academica/assets/plugins/sliderpro/css/slider-pro.css	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/plugins/sliderpro/css/slider-pro.css	(from http://html.templines.com/academica/assets/css/master.css)
21:16:49	115263/115263	---MCZ	200	added ('OK')	text/css	etag:W/%22563773fc-1c23f%22	http://html.templines.com/academica/assets/fonts/stroke/style.css	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/fonts/stroke/style.css	(from http://html.templines.com/academica/assets/css/master.css)
21:16:49	133466/133466	---MCZ	200	added ('OK')	text/css	etag:W/%2256377471-2095a%22	http://html.templines.com/academica/assets/plugins/bootstrap/css/bootstrap.css	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/plugins/bootstrap/css/bootstrap.css	(from http://html.templines.com/academica/assets/css/master.css)
21:16:49	4435/4435	---MCZ	200	added ('OK')	text/css	etag:W/%2256377428-1153%22	http://html.templines.com/academica/assets/plugins/isotope/isotope.css	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/plugins/isotope/isotope.css	(from http://html.templines.com/academica/assets/css/master.css)
21:16:50	3006/3006	---MCZ	200	added ('OK')	text/css	etag:W/%2256377430-bbe%22	http://html.templines.com/academica/assets/plugins/validation/validation-2.2.min.css	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/plugins/validation/validation-2.2.min.css	(from http://html.templines.com/academica/assets/css/master.css)
21:16:50	1518/1518	---MCZ	200	added ('OK')	text/css	etag:W/%225637742c-5ee%22	http://html.templines.com/academica/assets/plugins/owl-carousel/owl.carousel.css	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/plugins/owl-carousel/owl.carousel.css	(from http://html.templines.com/academica/assets/css/master.css)
21:16:50	4476/4476	---MCZ	200	added ('OK')	text/css	etag:W/%225637742d-117c%22	http://html.templines.com/academica/assets/plugins/owl-carousel/owl.transitions.css	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/plugins/owl-carousel/owl.transitions.css	(from http://html.templines.com/academica/assets/css/master.css)
21:16:51	3164/3164	---MCZ	200	added ('OK')	text/css	etag:W/%225637742d-c5c%22	http://html.templines.com/academica/assets/plugins/owl-carousel/owl.theme.css	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/plugins/owl-carousel/owl.theme.css	(from http://html.templines.com/academica/assets/css/master.css)
21:16:51	19888/19888	---MCZ	200	added ('OK')	text/css	etag:W/%2256377473-4db0%22	http://html.templines.com/academica/assets/plugins/prettyphoto/css/prettyPhoto.css	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/plugins/prettyphoto/css/prettyPhoto.css	(from http://html.templines.com/academica/assets/css/master.css)
21:16:51	2104/2104	---MCZ	200	added ('OK')	text/css	etag:W/%2256377431-838%22	http://html.templines.com/academica/assets/plugins/yamm/yamm.css	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/plugins/yamm/yamm.css	(from http://html.templines.com/academica/assets/css/master.css)
21:16:52	17870/17870	---MCZ	200	added ('OK')	text/css	etag:W/%2256377427-45ce%22	http://html.templines.com/academica/assets/plugins/datetimepicker/jquery.datetimepicker.css	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/plugins/datetimepicker/jquery.datetimepicker.css	(from http://html.templines.com/academica/assets/css/master.css)
21:16:52	68796/68796	---MCZ	200	added ('OK')	text/css	etag:W/%2256377425-10cbc%22	http://html.templines.com/academica/assets/plugins/animate/animate.css	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/plugins/animate/animate.css	(from http://html.templines.com/academica/assets/css/master.css)
21:16:52	2509/2509	---MCZ	200	added ('OK')	text/css	etag:W/%2256377429-9cd%22	http://html.templines.com/academica/assets/plugins/jelect/main.css	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/plugins/jelect/main.css	(from http://html.templines.com/academica/assets/css/master.css)
21:16:53	39048/39048	---MCZ	200	added ('OK')	text/css	etag:W/%22564cfbe8-9888%22	http://html.templines.com/academica/assets/css/theme.css	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/css/theme.css	(from http://html.templines.com/academica/assets/css/master.css)
21:16:53	3406/3406	---MCZ	200	added ('OK')	text/css	etag:W/%2256377914-d4e%22	http://html.templines.com/academica/assets/css/sidebar.css	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/css/sidebar.css	(from http://html.templines.com/academica/assets/css/master.css)
21:16:53	11426/11426	---MCZ	200	added ('OK')	text/css	etag:W/%2256489990-2ca2%22	http://html.templines.com/academica/assets/css/blog.css	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/css/blog.css	(from http://html.templines.com/academica/assets/css/master.css)
21:16:53	8550/8550	---MCZ	200	added ('OK')	text/css	etag:W/%225766f823-2166%22	http://html.templines.com/academica/assets/css/responsive.css	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/css/responsive.css	(from http://html.templines.com/academica/assets/css/master.css)
21:16:54	1332/1332	---MCZ	200	added ('OK')	text/css	etag:W/%225648995e-534%22	http://html.templines.com/academica/assets/css/color.css	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/css/color.css	(from http://html.templines.com/academica/assets/css/master.css)
21:16:54	427/427	---M--	200	added ('OK')	text/css	etag:%225757e90e-1ab%22	http://html.templines.com/academica/assets/css/debugging.css	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/css/debugging.css	(from http://html.templines.com/academica/assets/css/master.css)
21:16:55	3093/3093	---M--	200	added ('OK')	image/png	etag:%22563773f0-c15%22	http://html.templines.com/academica/favicon.png	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/favicon.png	(from http://html.templines.com/academica/home-1.html)
21:16:55	10821/10821	---MCZ	200	added ('OK')	text/css	etag:W/%225637747b-2a45%22	http://html.templines.com/academica/assets/plugins/switcher/css/switcher.css	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/plugins/switcher/css/switcher.css	(from http://html.templines.com/academica/home-1.html)
21:16:55	20/20	---M--	200	added ('OK')	text/css	etag:%225637747a-14%22	http://html.templines.com/academica/assets/plugins/switcher/css/color1.css	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/plugins/switcher/css/color1.css	(from http://html.templines.com/academica/home-1.html)
21:16:56	1320/1320	---MCZ	200	added ('OK')	text/css	etag:W/%225637747a-528%22	http://html.templines.com/academica/assets/plugins/switcher/css/color2.css	C:/Users/amane/Downloads/CollegeSpace/html.templines.com/academica/assets/plugins/switcher/css/color2.css	(from http://html.templines.com/academica/home-1.html)
